Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Date
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I601,didn’t break half way,P1R469,5,2021-04-25 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I624,stays on beautifully all day,P1R218,5,2022-01-16 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I633,did not had to touch it up,P1R413,4,2021-06-12 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1526, lasts great,P1R540,5,2021-03-21 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1542, stays on my face!,P1R714,5,2020-10-09 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1544, does not turn orange,P1R765,5,2020-08-19 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1549, wore this makeup all day,P1R814,5,2020-07-28 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1553, lasts alllll day,P1R895,5,2020-06-03 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1560, lasts alllllll day,P1R1025,5,2020-04-17 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1563, dries very fast,P1R1033,4,2020-04-16 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1604, stays on your face,P1R1349,5,2019-12-01 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1644, looks perfect at 12 hours,P1R1621,5,2019-07-21 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1649, Superb long lasting,P1R1675,5,2019-06-28 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1661, lasted till the end of my dance show,P1R1791,5,2019-05-16 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1663, looooooong lasting.,P1R1801,5,2019-05-15 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1664, stays fresh all day long,P1R1817,5,2019-05-10 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1666, doesnt oxidize,P1R1824,5,2019-05-05 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1668, very happy,P1R1828,5,2019-05-04 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1563, dries very fast,P1R1841,2,2019-05-01 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1674, only need to touch up once,P1R1914,5,2019-04-03 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1690, walk of shame,P1R2064,5,2019-02-18 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1693, stays on my skin.,P1R2101,5,2019-02-07 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1701, won’t be purchasing again,P1R2195,5,2019-01-10 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1712, stays from 8 AM to 11 PM,P1R2274,5,2018-12-17 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1716, doesn’t settle in my smile lines,P1R2294,5,2018-12-15 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1721, work from 8 am to 5 pm,P1R2306,5,2018-12-10 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1553, lasts alllll day,P1R2342,5,2018-11-21 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1733, stays on skin more than 10 hours,P1R2408,5,2018-11-05 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1734, barely oxidizes,P1R2418,5,2018-11-02 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1749, actually stays on my face.,P1R2534,5,2018-09-20 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1754, ur whole face stays on 24hours,P1R2567,5,2018-09-09 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1779, doesn't move or separate or break up,P1R2696,5,2018-07-31 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1814, lasts allll day,P1R3000,5,2018-04-25 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1819, actually lasts alllll day,P1R3019,5,2018-04-21 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1820, my foundation still looks amazing!,P1R3029,5,2018-04-20 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1822, doesn’t oxidize,P1R3034,5,2018-04-18 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1832, never oxidizes,P1R3106,5,2018-04-04 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1837, doesn’t come off till close to 8pm,P1R3132,5,2018-03-29 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1853, looks amazing all day,P1R3289,5,2018-02-15 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1864, stays beautifully even after more than 12 hours,P1R3322,4,2018-02-07 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1868, oil control foundation,P1R3345,4,2018-01-30 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1870, SUPER long lasting,P1R3355,5,2018-01-25 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1874, truly lasts on your skin all day,P1R3410,5,2018-01-11 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1905, wear off so easily,P1R3697,5,2017-10-29 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1910, from sunup to sundown,P1R3726,5,2017-10-13 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1916, still amazing.,P1R3762,5,2017-09-24 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1921, lasts sooo long,P1R3778,4,2017-09-21 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1924, neve r need a touch up,P1R3793,5,2017-09-18 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1939, stays on your face for a very long time,P1R3880,3,2017-09-06 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1958, controlled my oils the whole day,P1R4068,5,2017-07-01 00:00:00
Positive,P4L1I3,Product,6000,5906,4.7565,4.75792978891523,P4L2I15,Time,1461,1438,4.77960301163587,4.77816411682893,P4L3I149,touch,89,85,4.82352941176471,4.8314606741573,P4L4I1959, allll day,P1R4069,5,2017-06-30 00:00:00
